video_number,vimeo_link,nº do projecto,nome,tema,sample_1,sample_2,sample_3,sample_4,sample_5,remarks,consistency,performer_category,upload_date,location,keywords,voice
2971,https://vimeo.com/1017676641,1408,DPAGDP | Maria do Rosário Pinheiro,"""Mandos de Fado Mandado""","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.81)","2 performers (Duo, conf: 0.87)","3 performers (Small Group, conf: 0.54)","2 performers (Duo, conf: 0.90)",Mostly consistent (80%),80,duo (2),2024-10-08,,"dança, mandador","Voz, acordeão"
2972,https://vimeo.com/157050221,1408,Maria do Rosário Pinheiro,Bendito,"1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.82)",Consistent (100%),100,solo (1),2016-02-28,,religioso,Voz
2973,https://vimeo.com/157062010,1409,Manuel José Santos,Explica como se toca a cana: Rosinha e Pastorinha,"1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.89)","3 performers (Small Group, conf: 0.65)","1 performers (Solo, conf: 0.93)",Mostly consistent (80%),80,solo (1),2016-02-28,,construtor,"Voz, cana"
2974,https://vimeo.com/157064790,1410,Aida Mocho,Santa Eufémia,"1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.85)",Consistent (100%),100,solo (1),2016-02-28,,"cantadeira, tradicional",Voz
2975,https://vimeo.com/157159102,1411,"Maria Rosário Pinheiro, Alzira Almeida, Laurinda Ferreira",Nós vimos dali de baixo,"3 performers (Small Group, conf: 0.87)","3 performers (Small Group, conf: 0.87)","3 performers (Small Group, conf: 0.90)","3 performers (Small Group, conf: 0.90)","3 performers (Small Group, conf: 0.90)",Consistent (100%),100,small group (3-5),2016-02-29,,"janeiras, tradicional",Voz
2976,https://vimeo.com/157163355,1412,Fernando Pereira,Toca Harmónio,"1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.89)",Consistent (100%),100,solo (1),2016-02-29,,tradicional,Harmónio
2977,https://vimeo.com/157163692,1413,Grupo Informal de Paços da Serra,Cantiga dos Oficios,"12 performers (Large Group, conf: 0.61)","11 performers (Large Group, conf: 0.62)","15 performers (Large Group, conf: 0.55)","12 performers (Large Group, conf: 0.61)","14 performers (Large Group, conf: 0.57)",Inconsistent - Manual review required (40%),40,large group (5+),2016-02-29,,"tradicional, popular",Voz
2978,https://vimeo.com/157451288,1414,Francisco de Melo,Toca Harmónica,"1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.76)","2 performers (Duo, conf: 0.70)","3 performers (Small Group, conf: 0.53)",Mostly consistent (60%),60,solo (1),2016-03-02,,,Harmónica
2979,https://vimeo.com/157454815,1415,Herculano Sacramento,Sou português estrangeiro,"2 performers (Duo, conf: 0.59)","2 performers (Duo, conf: 0.60)","2 performers (Duo, conf: 0.65)","1 performers (Solo, conf: 0.91)","2 performers (Duo, conf: 0.58)",Mostly consistent (80%),80,duo (2),2016-03-02,,fado,Voz
2980,https://vimeo.com/157462538,1416,Francisco Lemos,"Voltei, voltei","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.90)",Consistent (100%),100,solo (1),2016-03-02,,popular,Bandolim
2981,https://vimeo.com/157465829,1417,Herculano Sacramento e Osmarina de Sá,Tenho à minha janela,"2 performers (Duo, conf: 0.86)","2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.84)","2 performers (Duo, conf: 0.83)","2 performers (Duo, conf: 0.86)",Consistent (100%),100,duo (2),2016-03-02,,"cantiga, tradicional",Voz
2982,https://vimeo.com/157597614,1418,Adriano Vieira,Fado de Eugénia Lima,"1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.88)",Consistent (100%),100,solo (1),2016-03-03,,fado,acordeão
2983,https://vimeo.com/157601167,1419,Maria da Conceição,,"1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.81)",No frame found,"1 performers (Solo, conf: 0.80)",Consistent (100%),100,solo (1),2016-03-03,,"poema, poeta popular",Voz
2984,https://vimeo.com/225820224,1420,Lucinda Colácia,Afastar os Milhafres,"2 performers (Duo, conf: 0.90)","2 performers (Duo, conf: 0.91)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.91)","2 performers (Duo, conf: 0.91)",Consistent (100%),100,duo (2),2017-07-17,,"crença, responso, superstição",Voz
2985,https://vimeo.com/157608261,1420,Lucinda Colácia,Responsa a Telma,"1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.87)",Consistent (100%),100,solo (1),2016-03-03,,"crença, responso, superstição",Voz
2986,https://vimeo.com/290926984,1421,Aureliano Ribeiro,Toca Gaita de Foles I,"1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.86)",Consistent (100%),100,solo (1),2018-09-20,,tradicional,flauta de tamborileiro
2987,https://vimeo.com/290927545,1421,Aureliano Ribeiro,Toca Gaita de Foles II,"1 performers (Solo, conf: 0.68)","1 performers (Solo, conf: 0.45)","1 performers (Solo, conf: 0.67)","1 performers (Solo, conf: 0.64)","1 performers (Solo, conf: 0.79)",Consistent (100%),100,solo (1),2018-09-20,,tradicional,flauta de tamborileiro
2988,https://vimeo.com/290926359,1421,Aureliano Ribeiro,Toca Flauta de Tamborileiro II,"1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.77)","1 performers (Solo, conf: 0.79)","1 performers (Solo, conf: 0.76)",Consistent (100%),100,solo (1),2018-09-20,,tradicional,flauta de tamborileiro
2989,https://vimeo.com/157612846,1421,Aureliano Ribeiro,Toca Flauta de tamborileiro,"1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.79)",Consistent (100%),100,solo (1),2016-03-03,,tradicional,flauta de tamborileiro
2990,https://vimeo.com/157614610,1422,Mirandês For Kids,"Come o caldo, come o caldo","25 performers (Large Group, conf: 0.60)","24 performers (Large Group, conf: 0.59)","21 performers (Large Group, conf: 0.65)","21 performers (Large Group, conf: 0.60)","19 performers (Large Group, conf: 0.65)",Inconsistent - Manual review required (40%),40,large group (5+),2016-03-03,,mirandês,Voz
2991,https://vimeo.com/157619703,1423,Xavier Rodrigues,Rtimos de Miranda do Douro,"1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.88)",Consistent (100%),100,solo (1),2016-03-03,,"tradicional, percussão",caixa
2992,https://vimeo.com/222714705,1424,João Justo,tocador de gaita de cana - Entrevista,"1 performers (Solo, conf: 0.95)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.72)","1 performers (Solo, conf: 0.91)",Consistent (100%),100,solo (1),2017-06-22,,entrevista,"Flauta, voz"
2993,https://vimeo.com/157759783,1424,João Justo,Fado,"1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)",Consistent (100%),100,solo (1),2016-03-04,,fado,Flauta
2994,https://vimeo.com/157854253,1425,Grupo de Danças e Cantares Regionais do Orfeão da Feira,"Cantigas de Antanho, Rainha Santa","20 performers (Large Group, conf: 0.66)","21 performers (Large Group, conf: 0.63)","17 performers (Large Group, conf: 0.69)","18 performers (Large Group, conf: 0.67)","21 performers (Large Group, conf: 0.62)",Inconsistent - Manual review required (40%),40,large group (5+),2016-03-05,,"Polifonia, antanho, cantigas",Voz
2995,https://vimeo.com/158057229,1425,Grupo de Danças e Cantares Regionais do Orfeão da Feira,"Cantigas de Antanho, ""Ti Zé Rabelo""","5 performers (Small Group, conf: 0.72)","5 performers (Small Group, conf: 0.78)","5 performers (Small Group, conf: 0.77)","5 performers (Small Group, conf: 0.77)","6 performers (Large Group, conf: 0.70)",Mostly consistent (80%),80,small group (3-5),2016-03-07,,"Polifonia, antanho, cantigas",Voz
2996,https://vimeo.com/1017669958,1425,DPAGDP | Grupo de Danças e Cantares Regionais do Orfeão de Santa Maria Feira,Rabela,"13 performers (Large Group, conf: 0.64)","15 performers (Large Group, conf: 0.62)","13 performers (Large Group, conf: 0.64)","16 performers (Large Group, conf: 0.60)","18 performers (Large Group, conf: 0.61)",Inconsistent - Manual review required (40%),40,large group (5+),2024-10-08,,"Cantares, dança","Voz, cavaquinho, viola viola braguesa, violão, violino"
2997,https://vimeo.com/1017664865,1425,Grupo de Danças e Cantares Regionais do Orfeão da Feira,"""Pastorinha""","12 performers (Large Group, conf: 0.46)","9 performers (Large Group, conf: 0.57)","11 performers (Large Group, conf: 0.57)","15 performers (Large Group, conf: 0.55)","11 performers (Large Group, conf: 0.61)",Inconsistent - Manual review required (40%),40,large group (5+),2024-10-08,,"Cantares, dança","Voz, cavaquinho, viola viola braguesa, violão, violino"
2998,https://vimeo.com/1017665226,1425,Grupo de Danças e Cantares Regionais do Orfeão da Feira,"""O chapéu daquele moço""","22 performers (Large Group, conf: 0.51)","18 performers (Large Group, conf: 0.46)","13 performers (Large Group, conf: 0.57)","11 performers (Large Group, conf: 0.58)","15 performers (Large Group, conf: 0.56)",Inconsistent - Manual review required (20%),20,large group (5+),2024-10-08,,"Cantares, dança","Voz, cavaquinho, viola viola braguesa, violão, violino"
2999,https://vimeo.com/157900371,1425,Grupo de Danças e Cantares Regionais do Orfeão da Feira,Verdegar,"30 performers (Large Group, conf: 0.54)","28 performers (Large Group, conf: 0.59)","28 performers (Large Group, conf: 0.57)","30 performers (Large Group, conf: 0.55)","28 performers (Large Group, conf: 0.56)",Mostly consistent (60%),60,large group (5+),2016-03-06,,Cantares,"Voz, cavaquinho, viola viola braguesa, violão"
3000,https://vimeo.com/736118211,1426,Grupo Etnográfico de Danças e Cantares de Fermedo e Mato,"""Eu hei-de ir à guerra""","2 performers (Duo, conf: 0.63)","1 performers (Solo, conf: 0.64)","2 performers (Duo, conf: 0.52)","2 performers (Duo, conf: 0.57)","1 performers (Solo, conf: 0.64)",Mostly consistent (60%),60,duo (2),2022-08-03,,"Polifonia, cantadeiras",Voz
3001,https://vimeo.com/157991329,1426,Grupo Etnográfico de Danças e Cantares de Fermedo e Mato,São João,"6 performers (Large Group, conf: 0.85)","6 performers (Large Group, conf: 0.85)","6 performers (Large Group, conf: 0.85)","6 performers (Large Group, conf: 0.89)","6 performers (Large Group, conf: 0.87)",Consistent (100%),100,large group (5+),2016-03-07,,"Polifonia, cantadeiras",Voz
3002,https://vimeo.com/158687749,1426,Grupo Etnográfico de Danças e Cantares de Fermedo e Mato,Janelas Avarandadas,"7 performers (Large Group, conf: 0.50)","3 performers (Small Group, conf: 0.75)","4 performers (Small Group, conf: 0.59)","5 performers (Small Group, conf: 0.49)","4 performers (Small Group, conf: 0.65)",Inconsistent - Manual review required (40%),40,small group (3-5),2016-03-11,,"Polifonia, cantadeiras",Voz
3003,https://vimeo.com/158723145,1426,Grupo Etnográfico de Danças e Cantares de Fermedo e Mato,Eu hei de botar no laço,"6 performers (Large Group, conf: 0.87)","6 performers (Large Group, conf: 0.88)","6 performers (Large Group, conf: 0.89)","6 performers (Large Group, conf: 0.88)","6 performers (Large Group, conf: 0.89)",Consistent (100%),100,large group (5+),2016-03-12,,"Polifonia, cantadeiras",Voz
3004,https://vimeo.com/158001646,1427,Edite Tavares,Larica Verde,"1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.85)",Consistent (100%),100,solo (1),2016-03-07,,"cantadeira, cantares",Voz
3005,https://vimeo.com/158004786,1428,Centro de Cultura e desporto de Fiães,Canto do terço,"18 performers (Large Group, conf: 0.58)","24 performers (Large Group, conf: 0.53)","24 performers (Large Group, conf: 0.51)","18 performers (Large Group, conf: 0.54)","19 performers (Large Group, conf: 0.57)",Inconsistent - Manual review required (40%),40,large group (5+),2016-03-07,,cântico religioso,Voz
3006,https://vimeo.com/158009229,1429,"Madalena, Micas e Cidália",Quero bem à minha sogra,"3 performers (Small Group, conf: 0.69)","2 performers (Duo, conf: 0.77)","2 performers (Duo, conf: 0.73)","3 performers (Small Group, conf: 0.69)","3 performers (Small Group, conf: 0.71)",Mostly consistent (60%),60,small group (3-5),2016-03-07,,Cantares,Voz
3007,https://vimeo.com/158167149,1430,Marino Bernardino e Glória Bernadino,Linguarajar,"2 performers (Duo, conf: 0.86)","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.88)",Consistent (100%),100,duo (2),2016-03-08,,regionalismos,Voz
3008,https://vimeo.com/158207772,1431,David Mota,Ciranda,"1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)",Consistent (100%),100,solo (1),2016-03-08,,"tradicional, cantiga, popular, dança","Voz, viola viola braguesa"
3009,https://vimeo.com/208321921,1431,David Mota,"""Histórias de um ensaiador e Pinhoeiro""","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.91)",Consistent (100%),100,solo (1),2017-03-14,,"entrevista, história de vida","Voz, viola viola braguesa"
3010,https://vimeo.com/158259865,1431,David Mota,Marrafinha,"1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.92)",Consistent (100%),100,solo (1),2016-03-08,,"tranglomango, tradicional, dança, lenga-lenga","Voz, viola viola braguesa"
3011,https://vimeo.com/158224139,1432,Associação Grupo de Danças e Cantares Regionais da Feira,Eu também já fui lavadeira,"12 performers (Large Group, conf: 0.52)","10 performers (Large Group, conf: 0.53)","13 performers (Large Group, conf: 0.52)","5 performers (Small Group, conf: 0.66)","6 performers (Large Group, conf: 0.53)",Inconsistent - Manual review required (20%),20,large group (5+),2016-03-08,,"cantares, cantiga, tradicional, cantadeiras",Voz
3012,https://vimeo.com/158302089,1433,Anas e Fernanda,Debaixo da Oliveira e Benção da broa,"3 performers (Small Group, conf: 0.55)","2 performers (Duo, conf: 0.67)","3 performers (Small Group, conf: 0.55)","2 performers (Duo, conf: 0.69)","2 performers (Duo, conf: 0.69)",Mostly consistent (60%),60,duo (2),2016-03-09,,"cantares, benção, cantadeiras, superstições, crença",Voz
3013,https://vimeo.com/221934855,1434,Gil Raro,"""Valsa""","1 performers (Solo, conf: 0.80)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)",Consistent (100%),100,solo (1),2017-06-16,,,"voz, viola remaldeira"
3014,https://vimeo.com/221932227,1434,Gil Raro,"""Verdegar""","1 performers (Solo, conf: 0.78)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.89)","1 performers (Solo, conf: 0.84)",Consistent (100%),100,solo (1),2017-06-16,,,"voz, viola remaldeira"
3015,https://vimeo.com/158600640,1434,Gil Raro,Alargai-vos raparigas,"1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.94)",Consistent (100%),100,solo (1),2016-03-11,,tradicional,Harmónio
3016,https://vimeo.com/385049535,1434,"O que é o folclore e os ranchos? perguntas para a Ruptura, um filme investigação de Tiago Pereira",2. Gil Raro,"5 performers (Small Group, conf: 0.41)","1 performers (Solo, conf: 0.87)","3 performers (Small Group, conf: 0.47)","4 performers (Small Group, conf: 0.45)","3 performers (Small Group, conf: 0.51)",Inconsistent - Manual review required (40%),40,small group (3-5),2020-01-15,,"filme, documentário",voz
3017,https://vimeo.com/158513227,1435,Rusga de Milheirós,Vira,"3 performers (Small Group, conf: 0.84)","4 performers (Small Group, conf: 0.73)","3 performers (Small Group, conf: 0.83)","3 performers (Small Group, conf: 0.83)","4 performers (Small Group, conf: 0.68)",Mostly consistent (60%),60,small group (3-5),2016-03-10,,"dança, cantares, tradicional, cantadeira","Voz, viola viola braguesa, violão"
3018,https://vimeo.com/159479035,1435,Rusga de Milheirós,Remaldeira,"3 performers (Small Group, conf: 0.78)","3 performers (Small Group, conf: 0.82)","3 performers (Small Group, conf: 0.83)","4 performers (Small Group, conf: 0.67)","4 performers (Small Group, conf: 0.71)",Mostly consistent (60%),60,small group (3-5),2016-03-18,,"dança, cantares, tradicional, cantadeira","Voz, viola viola braguesa, violão"
3019,https://vimeo.com/158601666,1436,Pedro Melo,Improvisação,"1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.84)","1 performers (Solo, conf: 0.84)","2 performers (Duo, conf: 0.54)","2 performers (Duo, conf: 0.57)",Mostly consistent (60%),60,solo (1),2016-03-11,,improvisação,Viola viola braguesa
3020,https://vimeo.com/159474944,1437,Rancho Folclórico As Florinhas Caldas São Jorge,Canto do terço,"17 performers (Large Group, conf: 0.55)","17 performers (Large Group, conf: 0.56)","15 performers (Large Group, conf: 0.57)","15 performers (Large Group, conf: 0.60)","17 performers (Large Group, conf: 0.56)",Mostly consistent (60%),60,large group (5+),2016-03-18,,"oração, crença, religião",Voz
3021,https://vimeo.com/159938149,1438,Volume Brando,Há uma festa aqui ao lado,"2 performers (Duo, conf: 0.77)","2 performers (Duo, conf: 0.74)","2 performers (Duo, conf: 0.75)","2 performers (Duo, conf: 0.66)","3 performers (Small Group, conf: 0.54)",Mostly consistent (80%),80,duo (2),2016-03-22,,,"Viola viola campaniça, cajon"
3022,https://vimeo.com/159976702,1439,Francisco Naia e a Ronda Campaniça,Tasca do Encalha,"5 performers (Small Group, conf: 0.85)","5 performers (Small Group, conf: 0.85)","5 performers (Small Group, conf: 0.83)","5 performers (Small Group, conf: 0.84)","6 performers (Large Group, conf: 0.75)",Mostly consistent (80%),80,small group (3-5),2016-03-22,,fado,"Voz, Viola viola campaniça, Viola clássica,Viola viola campaniça, Viola Clássica, Bandolim, Baixo"
3023,https://vimeo.com/238390020,1440,Júlia Martins,“O que fazes tu criança em cima deste penedo”,"1 performers (Solo, conf: 0.64)","1 performers (Solo, conf: 0.82)","1 performers (Solo, conf: 0.81)","1 performers (Solo, conf: 0.83)","1 performers (Solo, conf: 0.81)",Consistent (100%),100,solo (1),2017-10-16,,"cantiga, popular",Voz
3024,https://vimeo.com/1016064405,1440,Júlia Martins,"""Tigelada"" A comida portuguesa a gostar dela própria","1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.85)",Consistent (100%),100,solo (1),2024-10-04,,comida,Voz
3025,https://vimeo.com/222206109,1440,Júlia Martins,"""Banana não tem caroço""","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.90)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.92)",Consistent (100%),100,solo (1),2017-06-19,,"cantiga, popular",Voz
3026,https://vimeo.com/160303791,1440,Júlia Martins,Saias,"2 performers (Duo, conf: 0.55)","1 performers (Solo, conf: 0.86)","2 performers (Duo, conf: 0.55)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.89)",Mostly consistent (60%),60,solo (1),2016-03-24,,"dança, ratinhos",Voz
3027,https://vimeo.com/160338874,1441,Mulheres de Corgas,Encomendação das Almas,"8 performers (Large Group, conf: 0.65)","7 performers (Large Group, conf: 0.61)","8 performers (Large Group, conf: 0.62)","8 performers (Large Group, conf: 0.67)","8 performers (Large Group, conf: 0.54)",Mostly consistent (80%),80,large group (5+),2016-03-25,,"religioso, páscoa, tradicional, almas, cantares",Voz
3028,https://vimeo.com/160642348,1442,Grupo de Janeiras de Alvito da Beira,Pedir às almas,"5 performers (Small Group, conf: 0.78)","5 performers (Small Group, conf: 0.79)","5 performers (Small Group, conf: 0.78)","6 performers (Large Group, conf: 0.69)","5 performers (Small Group, conf: 0.79)",Mostly consistent (80%),80,small group (3-5),2016-03-28,,,Voz
3029,https://vimeo.com/160744649,1443,Maria de Lurdes,Oração a Santa Catarina,"1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.92)","1 performers (Solo, conf: 0.91)","1 performers (Solo, conf: 0.92)",Consistent (100%),100,solo (1),2016-03-29,,"reza, oração, crença, superstição",Voz
3030,https://vimeo.com/160874983,1444,Mulheres de Atalaias,Encomendação das Almas,"6 performers (Large Group, conf: 0.57)","6 performers (Large Group, conf: 0.53)","7 performers (Large Group, conf: 0.41)","6 performers (Large Group, conf: 0.42)","5 performers (Small Group, conf: 0.49)",Mostly consistent (60%),60,large group (5+),2016-03-30,,"páscoa, alma, crença, superstição",Voz
3031,https://vimeo.com/160889839,1445,Gonçalo Carvalho e Gabriel Ramos,Riu Piu Piu e Fado maluco,"2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.90)","2 performers (Duo, conf: 0.90)","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.89)",Consistent (100%),100,duo (2),2016-03-30,,,Gaita de foles
3032,https://vimeo.com/225831698,1446,Homens de Carvalhal de Vermilhas,Amentar as Almas,"6 performers (Large Group, conf: 0.65)","6 performers (Large Group, conf: 0.65)","7 performers (Large Group, conf: 0.66)","7 performers (Large Group, conf: 0.62)","6 performers (Large Group, conf: 0.64)",Mostly consistent (60%),60,large group (5+),2017-07-17,,,voz
3033,https://vimeo.com/160902991,1447,Sinos tocados pelo Angelo Arribas,Toque Tintanubrada contra as trovoadas,"1 performers (Solo, conf: 0.50)","1 performers (Solo, conf: 0.51)","1 performers (Solo, conf: 0.45)","2 performers (Duo, conf: 0.39)","1 performers (Solo, conf: 0.45)",Mostly consistent (80%),80,solo (1),2016-03-30,,"crença, toque, sinos",Sino
3034,https://vimeo.com/160907137,1448,Esmeraldino Fernandes,,"2 performers (Duo, conf: 0.76)","2 performers (Duo, conf: 0.69)","1 performers (Solo, conf: 0.78)","2 performers (Duo, conf: 0.69)","1 performers (Solo, conf: 0.77)",Mostly consistent (60%),60,duo (2),2016-03-30,,"inventor, construtor",acordeão
3035,https://vimeo.com/160909951,1449,Simão Fernandes,Pingacho,"1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.93)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.94)","1 performers (Solo, conf: 0.93)",Consistent (100%),100,solo (1),2016-03-30,,infantil,Gaita de foles
3036,https://vimeo.com/160912704,1450,Ilda da Igreja e Eufémia Pires,Meia-noite,"3 performers (Small Group, conf: 0.69)","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.88)","2 performers (Duo, conf: 0.88)",Mostly consistent (80%),80,duo (2),2016-03-30,,,Voz
3037,https://vimeo.com/161065456,1451,Carmen da Anunciação Pires,,"1 performers (Solo, conf: 0.88)","1 performers (Solo, conf: 0.86)","1 performers (Solo, conf: 0.85)","1 performers (Solo, conf: 0.87)","1 performers (Solo, conf: 0.89)",Consistent (100%),100,solo (1),2016-03-31,,,Voz
3038,https://vimeo.com/161067865,1452,Vitorino e Janita Salomé com Pedro Mestre,Diz a Laranja ao Limão,"3 performers (Small Group, conf: 0.67)","4 performers (Small Group, conf: 0.66)","3 performers (Small Group, conf: 0.59)","2 performers (Duo, conf: 0.69)","4 performers (Small Group, conf: 0.75)",Inconsistent - Manual review required (40%),40,small group (3-5),2016-03-31,,,"Voz, viola campaniça"
3039,https://vimeo.com/161166453,1453,Grupo de Violas Campaniças da Alma Alentejana,Não quero que vás à monda,"19 performers (Large Group, conf: 0.60)","16 performers (Large Group, conf: 0.65)","17 performers (Large Group, conf: 0.69)","17 performers (Large Group, conf: 0.67)","18 performers (Large Group, conf: 0.65)",Inconsistent - Manual review required (40%),40,large group (5+),2016-04-01,,,"voz, viola campaniça"
3040,https://vimeo.com/161169353,1454,Pedro Mestre - Campaniça do Despique,"Danças comigo, ó Rosa?","5 performers (Small Group, conf: 0.81)","5 performers (Small Group, conf: 0.83)","5 performers (Small Group, conf: 0.82)","5 performers (Small Group, conf: 0.83)","5 performers (Small Group, conf: 0.84)",Consistent (100%),100,small group (3-5),2016-04-01,,,"Voz, viola campaniça, acordeão, baixo, bateria"
3041,https://vimeo.com/161456856,1454,Pedro Mestre - Campaniça do Despique,Jardim dos Sentidos,"4 performers (Small Group, conf: 0.82)","4 performers (Small Group, conf: 0.83)","4 performers (Small Group, conf: 0.85)","4 performers (Small Group, conf: 0.82)","4 performers (Small Group, conf: 0.86)",Consistent (100%),100,small group (3-5),2016-04-04,,,"Voz, viola campaniça, flauta, baixo, bateria"
3042,https://vimeo.com/161173223,1455,Ana Tomás e Ricardo Fonseca,Avé Maria,"2 performers (Duo, conf: 0.85)","2 performers (Duo, conf: 0.89)","2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.87)","2 performers (Duo, conf: 0.88)",Consistent (100%),100,duo (2),2016-04-01,,lirico,"Voz, viola campaniça"
3043,https://vimeo.com/173268527,1456,Canções de labor e de lazer,"""Eras tão bonita""","4 performers (Small Group, conf: 0.77)","3 performers (Small Group, conf: 0.85)","4 performers (Small Group, conf: 0.76)","4 performers (Small Group, conf: 0.79)","3 performers (Small Group, conf: 0.85)",Mostly consistent (60%),60,small group (3-5),2016-07-03,,lirico,"Voz, viola campaniça, orgão"
3044,https://vimeo.com/161179571,1456,Canções de labor e de lazer,Menina Florentina,"5 performers (Small Group, conf: 0.67)","3 performers (Small Group, conf: 0.84)","4 performers (Small Group, conf: 0.73)","3 performers (Small Group, conf: 0.82)","4 performers (Small Group, conf: 0.80)",Inconsistent - Manual review required (40%),40,small group (3-5),2016-04-01,,lirico,"Voz, viola viola campaniça, orgão"
3045,https://vimeo.com/161183158,1457,Francisco Naia,"Nada sei, tudo sei","5 performers (Small Group, conf: 0.86)","5 performers (Small Group, conf: 0.89)","6 performers (Large Group, conf: 0.77)","5 performers (Small Group, conf: 0.87)","8 performers (Large Group, conf: 0.68)",Mostly consistent (60%),60,small group (3-5),2016-04-01,,,"voz, viola acústica, adufe, viola viola campaniça, contrabaixo"
3046,https://vimeo.com/161186569,1458,Francisco Naia e Ricardo Fonseca,Dez horas,"2 performers (Duo, conf: 0.84)","2 performers (Duo, conf: 0.87)","3 performers (Small Group, conf: 0.83)","2 performers (Duo, conf: 0.83)","2 performers (Duo, conf: 0.87)",Mostly consistent (80%),80,duo (2),2016-04-01,,,"Voz, viola viola campaniça"
